Pedigree name	SubjectID	FatherID	MotherID	Gender
200450	200450024	200450010	200450011	F
200450	200450023			M
200450	200450033	200450023	200450024	M
200450	200450034	200450023	200450024	M
200450	200450035	200450023	200450024	F
200450	200450036	200450023	200450024	F
200450	200450021	200450010	200450011	M
200450	200450020	200450010	200450011	M
200450	200450022			F
200450	200450031	200450021	200450022	M
200450	200450032	200450021	200450022	F
200450	200450010	200450003	200450002	M
200450	200450011	200450004	200450005	F
200450	200450012	200450004	200450005	M
200450	200450013	200450004	200450005	M
200450	200450014	200450004	200450005	M
200450	200450015	200450004	200450005	M
200450	200450016	200450004	200450005	M
200450	200450017			F
200450	200450018	200450004	200450005	F
200450	200450019	200450004	200450005	F
200450	200450025	200450016	200450017	M
200450	200450026	200450016	200450017	M
200450	200450027	200450016	200450017	F
200450	200450028	200450016	200450017	F
200450	200450029	200450016	200450017	F
200450	200450030	200450016	200450017	F
200450	200450005			F
200450	200450004			M
200450	200450009	200450003	200450002	M
200450	200450003			M
200450	200450002			F
200450	200450001			M
200450	200450006	200450001	200450002	M
200450	200450007	200450001	200450002	M
200450	200450008	200450001	200450002	F
