Pedigree name	SubjectID	FatherID	MotherID	Gender
200456	200456015	200456006	200456007	M
200456	200456016			F
200456	200456018	200456015	200456016	M
200456	200456019	200456015	200456016	F
200456	200456020	200456015	200456016	F
200456	200456021	200456015	200456016	F
200456	200456022			M
200456	200456023	200456022	200456021	F
200456	200456013	200456006	200456007	F
200456	200456010	200456006	200456007	F
200456	200456009	200456006	200456007	M
200456	200456012	200456006	200456007	F
200456	200456014	200456006	200456007	F
200456	200456011			M
200456	200456017	200456011	200456010	F
200456	200456006	200456001	200456002	M
200456	200456007	200456003	200456004	F
200456	200456001			M
200456	200456002			F
200456	200456003			M
200456	200456004			F
200456	200456005			M
200456	200456008	200456005	200456004	F
