Pedigree name	SubjectID	FatherID	MotherID	Gender
200449	200449023	200449013	200449014	M
200449	200449013	200449002	200449003	M
200449	200449014	200449004	200449005	F
200449	200449022	200449013	200449014	M
200449	200449024	200449013	200449014	F
200449	200449002			M
200449	200449003			F
200449	200449001			F
200449	200449007	200449002	200449003	M
200449	200449008	200449002	200449003	F
200449	200449009	200449002	200449003	F
200449	200449010	200449002	200449003	F
200449	200449006	200449002	200449001	F
200449	200449012	200449002	200449003	U
200449	200449011	200449002	200449003	M
200449	200449020	200449004	200449005	F
200449	200449017	200449004	200449005	F
200449	200449019	200449004	200449005	F
200449	200449015	200449004	200449005	M
200449	200449016	200449004	200449005	M
200449	200449018			M
200449	200449025	200449018	200449019	F
200449	200449026	200449018	200449019	F
200449	200449021			M
200449	200449027	200449021	200449020	M
200449	200449028	200449021	200449020	M
200449	200449029	200449021	200449020	M
200449	200449030	200449021	200449020	F
200449	200449004			M
200449	200449005			F
