Pedigree name	SubjectID	FatherID	MotherID	Gender
200461	200461016	200461008	200461009	F
200461	200461017	200461008	200461009	F
200461	200461015	200461008	200461009	M
200461	200461014	200461008	200461009	M
200461	200461008	200461001	200461002	M
200461	200461009	200461003	200461004	F
200461	200461007	200461001	200461002	F
200461	200461006	200461001	200461002	F
200461	200461005	200461001	200461002	M
200461	200461010	200461003	200461004	M
200461	200461011	200461003	200461004	F
200461	200461013	200461003	200461004	F
200461	200461012			M
200461	200461018	200461012	200461011	M
200461	200461019	200461012	200461011	M
200461	200461021	200461012	200461011	F
200461	200461022	200461012	200461011	F
200461	200461020			F
200461	200461023	200461019	200461020	M
200461	200461024	200461019	200461020	M
200461	200461025	200461019	200461020	F
200461	200461003			M
200461	200461004			F
200461	200461001			M
200461	200461002			F
